# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
11,2025,조정결정사례,과도한 개인정보 수집,"아파트 게시판에 글 작성 시, 성명․동 표시로 사생활을 침해하는 것에 대한 손해배상 등 요구",,개선 조치,주문: 피신청인은 조정성립일로부터 6주 이내에 입주민이 아파트 홈페이지 게시판에 글을 작성하는 경우 성명을 표시하지 않도록 운영방식을 변경한다.,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2150&VA=content,https://datalaw.kr/mediation/#m-2150
12,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 목적 외 이용 등에 대한 손해배상 등 요구,25만원,손해배상(25만원) 및 재발방지 조치,민감정보의 처리를 위해서는 보호법 제23조의 요건을 갖추어야 하는데 피신청인이 신청인으로부터 별도 동의를 받은 사정이 확인되지 아니하고 관련 법령에서도 처리를 요구하거나 허용하고 있지 않으므로 보호법 제23조를 위반하였다고 판단,제23조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2149&VA=content,https://datalaw.kr/mediation/#m-2149
13,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 삭제 요구 거부 등에 대한 제도개선 등 요구,,기각,"신청인의 민방위 편성, 교육 훈련 등 민방위에 관한 사무를 처리하기 위하여 수집하고 있는 개인정보로서 과다하게 수집되고 있다거나 삭제를 요구할 수 있다고 볼 수 없음",제2조 · 제6조 · 제15조 · 제19조 · 제21조 · 제36조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2148&VA=content,https://datalaw.kr/mediation/#m-2148
14,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 요구,30만원,"손해배상(30만원) 및 재발방지 조치, 결정문 공개",피신청인은 상급자가 업무관련 단체대화방에 녹음파일을 공개한 행위에 대해 관리·감독할 의무가 있으므로 재발방지 조치 및 손해배상을 인정하는 것이 타당함,제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2139&VA=content,https://datalaw.kr/mediation/#m-2139
15,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 따른 사생활 침해에 대한 손해배상 요구,"1,200만 원",재발방지 조치 및 나머지 신청 기각,"피신청인은 검품업무의 정상수행과 장비 미반납 및 고장 대처 등을 위하여 수불대장을 운영하고 있고, 신청인의 주요업무는 재고관리로 신청인에게 개인정보를 기재하게 하는 것은 보호법을 위반하는 것이라 보기 어려움",제3조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2138&VA=content,https://datalaw.kr/mediation/#m-2138
16,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없는 개인정보 제3자 제공에 따른 손해배상 요구,,기각,"변제 당일 채무잔액 전부가 변제되지 않아 피신청인이 부동산 가압류를 해제하지 않고 있는 상황에서, 이후 공인중개사가 가압류가 해제되지 않은 사유를 문의하자 이에 응하여 미변제된 잔액이라는 최소한의 정보를 제공한 것으로 그 필요성이 인정됨",제2조 · 제6조 · 제17조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2134&VA=content,https://datalaw.kr/mediation/#m-2134
17,2025,조정결정사례,과도한 개인정보 수집,과도한 개인정보 수집에 따른 침해행위의 중지 등 요구,,기각,"신청인은 피신청인이 증거자료 채택 시 본인 개인정보가 과도하게 포함되었다고 주장하며 개인정보 삭제를 요구하고 있으나, 피신청인이 부당해고 구제신청 사실조사를 위해 필요한 증거자료 수집 및 채택할지는 사실조사에 관해 규정하고…",제2조 · 제15조 · 제37조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2133&VA=content,https://datalaw.kr/mediation/#m-2133
18,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 따른 손해배상 등 요구,15만원; 5만원,"손해배상(15만원, 5만원) 및 재발방지 조치","피신청인이 개인정보의 안전성 확보 조치를 다하지 못한 행위로 인해 개인정보가 유출됨으로써 신청인들의 개인정보자기결정권이 침해된 점, 성명·핸드폰번호·상세주소 등의 유출된 개인정보로 보이스피싱…",제2조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2132&VA=content,https://datalaw.kr/mediation/#m-2132
19,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,CCTV영상의 열람 불응 및 동의없는 제3자 제공에 대한 손해배상 등 요구,,기각,"피신청인이 신청인에게 CCTV 영상 열람을 위해 방문열람을 안내하였고, 이후 정보주체 이외의 자에 대한 보호 조지 후 전송을 제안한 점을 미루어 보았을 때 이는 개인정보 열람을 거부한 것이라고 보기 어려움.",제35조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2131&VA=content,https://datalaw.kr/mediation/#m-2131
20,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보의 열람 요구 불응 및 동의 없는 파기（삭제）에 대한 손해배상 등 요구,,"열람 조치, 나머지 기각","주문: 1. 피신청인은 신청인의 개인정보 열람 요청에 대해 지체없이 처리하고 향후, 열람 절차가 지연되지 않도록 6주 이내에 소속 직원 등을 상대로 개인정보 보호교육을 실시하는 등 재발 방지 조치를 이행한다. 2. 신청인의 나머지 신청을 기각한다.",제3조 · 제35조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2130&VA=content,https://datalaw.kr/mediation/#m-2130
21,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 따른 손해배상 등 요구,"120만 원; 1,200,000원",손해배상(120만원),"주문: 피신청인은 조정성립일로부터 4주 이내에 신청인들에게 손해배상금 각 1,200,000원을 지급한다.",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2129&VA=content,https://datalaw.kr/mediation/#m-2129
22,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 대한 손해배상 등 요구,25만원; 15만원,"손해배상(①주민번호 등 유출: 25만원, ② 성명 등 유출: 15만원), 재발방지 조치","①피신청인의 개인정보의 안전성 확보 조치를 다하지 못한 행위로 인해 개인정보가 유출됨으로써 신청인들의 개인정보자기결정권이 침해된 점, 성명·생년월일·이메일·주민등록번호 등의 유출된 개인정보로 보이스피싱…",제24조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2128&VA=content,https://datalaw.kr/mediation/#m-2128
23,2025,조정결정사례,동의 없는 개인정보 수집,피신청인이 동의 없이 신청인의 타사 실손보험을 조회한 것에 대한 손해배상 등 요구,,"손해배상 기각, 재발방지 조치","피신청인이 실손보험 공동조회로 조회할 수 있는 것은 자녀의 실손보험에 한정되며, 신청인의 동의의사도 피신청인이 자녀 실손보험을 조회하는 것은 예상할 수 있지만 자신의 실손보험까지 조회하는 것은 예측할 수 없음. 다만 피신청인은 위 사건이 재발하지 않도록 소속 직원을…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2118&VA=content,https://datalaw.kr/mediation/#m-2118
24,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보공개 청구자료를 동의 없이 이송한 것에 대한 손해배상 등 요구,,기각,"피신청인이 신청인의 이 사건 정보공개청구서를 각 시도 소방본부로 이송한 행위는 보호법 제17조 제1항 제2호, 제15조 제1항 제3호에 따라 공공기관인 피신청인이 법령 등에서 정하는 소관 업무의 수행을 위하여…",제15조 · 제17조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2108&VA=content,https://datalaw.kr/mediation/#m-2108
25,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없는 목적 외 이용에 대한 재발방지 조치 등 요구,,"재발방지 조치, 기각","피신청인은 신청인의 직장명 정보는 인터넷 검색을 통해 알 수 있는 공개된 정보라고 주장하고, 신청인은 피신청인이 직장명을 활용했다는 명확한 증빙자료가 없어 보호법을 위반으로 보기 어려움. 피신청인이 신청인의 메일을 안전하게 관리하지 못한 부분은 있음",제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2103&VA=content,https://datalaw.kr/mediation/#m-2103
26,2025,조정결정사례,동의 없는 개인정보 수집,동의 없이 사진 등을 개시한 것에 대한 손해배상 등 요구,,"재발방지 조치, 나머지 기각","이 사건에서 피신청인이 이 사건 게시물 등을 작성하는 과정에서 신청인으로부터 별도의 동의를 받은 사실을 인정할 수 없으므로, 보호법 제15조 위반으로 판단되며, 공개적으로 작성한 글을 재사용한다고 하더라도 본인에게 명시적인 동의를 받고…",제15조 · 제40조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2102&VA=content,https://datalaw.kr/mediation/#m-2102
27,2025,조정결정사례,기타 개인정보 침해,CCTV 영상열람 거부 등에 따른 손해배상 등 요구,,각하,"분쟁조정위원회는 당사자간의 개인정보에 관한 분쟁을 조정할 수 있으나, 신청인이 요구한 CCTV 영상은 본인을 불법 촬영하는 제3자가 촬영된 영상으로 피신청인으로부터 자신의 개인정보 침해가 발생한 것은 아닌 것으로…",제48조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2101&VA=content,https://datalaw.kr/mediation/#m-2101
28,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 제3자 제공에 따른 손해배상 등 요구,10만원,"손해배상(10만원), 재발방지 조치","피신청인이 당초 민원 접수 당시 개인정보의 수집 목적을 벗어난 이용이라고 볼 수 있으므로 보호법 제17조 및 제18조를 위반하였으며, 개인정보를 처리함에 있어서 개인정보가 안전하게 관리될 수 있도록 소속 공무원에 대한 관리·감독을 소홀히 하여…",제2조 · 제17조 · 제18조 · 제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2100&VA=content,https://datalaw.kr/mediation/#m-2100
29,2025,조정결정사례,기타 개인정보 침해,개인정보의 수집출처를 통지하지 않은 것 등에 대한 손해배상 등 요구,5만원,"손해배상(5만원), 재발방지 조치","이 사건에서 신청인은 피신청인에게 개인정보 수집 출처를 문의하였으나, 피신청인이 해당 문의에 대해서 회신하지 아니한 사실이 인정되므로, 이와 같이 피신청인이 신청인의 개인정보 수집출처 고지에 응하지 아니한 행위는 보호법 제20조 위반이며…",제2조 · 제20조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2099&VA=content,https://datalaw.kr/mediation/#m-2099
30,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,수사기록에 대한 보안조치를 소홀히 하여 개인정보가 유출된 것에 대한 손해배상 등 요구,10만원,"손해배상(10만원), 재발방지 조치","피신청인은「검사와 사법경찰관의 상호협력과 일반적 수사준칙에 관한 규정」제5조 제2항에 따라 수사의 전 과정에서 피의자와 사건 관계인의 사생활의 비밀을 보호하여야 하는 의무가 있는데, 담당수사관이 수사서류를 A가 혼자있는 조사실에 그대로 방치하여…",제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2098&VA=content,https://datalaw.kr/mediation/#m-2098
31,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,휴대전화번호 유출에 따른 손해 배상 등 요구,,"재발방지 조치, 나머지 기각","피신청인은 우편발송과 관련 관리적·기술적 안전조치 의무를 충분히 이행하지 않아 이 사건 우편봉투에 신청인의 휴대전화번호가 기재되었으므로 이는 보호법 제29조에 따른 의무를 다하지 못하였다고 봄이 타당하며, 피신청인은 같은 사건이 재발하지 않도록 철저한 점검방안 마련 및 재발방지 교육 등을 실시할 필요가 있음. 다만, 이 사건 우편물은 신청인이 직접 수령하였고…",제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2094&VA=content,https://datalaw.kr/mediation/#m-2094
32,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,안전조치의무 미이행 등에 따른 손해배상 등 요구,"50,000,000원",기각,"신청인은 주소가 무단 변경되었다는 주장에 대해 객관적인 자료를 제출하지 못하고 있으며, 오히려 피신청인이 제출한 자료에 따르면 계약서의 주소가 변경된 사실이 없고, 신청인의 개인정보가 유출되었다고 인정할 만한 객관적인 자료도 부족함",제2조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2092&VA=content,https://datalaw.kr/mediation/#m-2092
33,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 목적 외 이용 등에 따른 손해배상 등 요구,"5,000,000원",재발방지 조치,"신청인은 성명이 게시되었다는 사실보다 과거 신청인이 민원을 제기했었던 사실이 게시된 것에 관하여 개인정보 침해를 주장하고 있으며, 피신청인들이 해당 사실을 게시한 이유가 아파트의 원활한 관리, 입주자의 권익 증진 등을 위한 것으로 보이므로…",제3조 · 제6조 · 제18조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2091&VA=content,https://datalaw.kr/mediation/#m-2091
34,2025,조정결정사례,기타 개인정보 침해,개인정보 보호 원칙 위반에 대한 손해배상 등 요구,10만원,손해배상(10만원) 및 재발방지 조치,피신청인은 금융투자협회로부터 사망 취소 쿼리를 수신하였음에도 이를 사망 등록 쿼리로 처리한 것은 피신청인이 사망 취소/등록을 구분하지 아니하고 처리하였기 때문인 것으로 확인됨,제3조 · 제40조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2090&VA=content,https://datalaw.kr/mediation/#m-2090
35,2025,조정결정사례,침해사실 확인곤란,휴대전화기기 기능 설정 관련 손해배상 등 요구,,각하,"피신청인이 주장하는 휴대전화기 기능 설정 관련사항은 분쟁조정 위원회의 업무 범위인 개인정보에 관한 분쟁조정을 벗어난 사항이므로 보호법 제48조, 「개인정보 분쟁조정위원회 운영세칙」 제29조 제1항 제1호에 따라 이 사건 조정신청을 각하함",제48조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2089&VA=content,https://datalaw.kr/mediation/#m-2089
36,2025,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보의 열람요구 거부에 따른 침해행위의 중지 등 요구,,기각,피신청인이 신청인의 개인정보 열람요구를 거부한 행위는 보호법 제35조 제4항 제1호 및 「통신비밀보호법」에 따른 행위에 해당하므로 이를 두고 보호법을 위반하였다고…,제2조 · 제35조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2088&VA=content,https://datalaw.kr/mediation/#m-2088
37,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 수집 목적 외 이용에 따른 손해배상 등 요구,5만원; 5만 원,"손해배상(5만원), 재발방지 조치",피신청인이 신청인의 정보공개 청구서를 비식별 조치 없이 소속직원들에게 공유함으로 소속 직원들이 신청인의 개인정보에 대한 불필요한 접근과 오·남용 방지를 위한 관리·감독을 소홀히 하여 보호법 제28조를 위반함,제28조 · 제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2087&VA=content,https://datalaw.kr/mediation/#m-2087
38,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출 등에 따른 손해배상 등 요구,5만원,"손해배상(5만원), 재발방지 조치",손해의 인정범위에 대하여 오해가 소지가 없도록 문구 수정,제29조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2086&VA=content,https://datalaw.kr/mediation/#m-2086
39,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,부동산 매매계약 관련 ｢개인정보 보호법｣ 위반여부 판단 및 위법행위에 대한 손해배상 등 요구,,기각,"이 사건에서 A는 신청인에게 자신의 연락처를 제공하는 점에 관하여 명백한 거절의 의사를 표시하였으므로, 보호법 제17조에 따라 피신청인은 신청인에게 A의 연락처를 제공하여서는 아니됨",제2조 · 제17조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2085&VA=content,https://datalaw.kr/mediation/#m-2085
40,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 제3자 제공에 따른 손해배상 등 요구,10만원,"손해배상(10만원), 재발방지 조치",신청인의 동의 없이 이 사건 민원 처리결과를 센터에 제공한 것은 당초 민원 접수 당시 개인정보의 수집 목적을 벗어난 이용이라고 볼 수 있으므로 보호법 제17조 및 제18조 위반임,제2조 · 제17조 · 제18조 · 제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2084&VA=content,https://datalaw.kr/mediation/#m-2084
41,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 수집 목적 외 이용에 따른 손해배상 등 요구,5만원; 5만 원,"손해배상(5만원), 재발방지 조치",피신청인이 신청인의 정보공개 청구서를 비식별 조치 없이 소속직원들에게 공유함으로 소속 직원들이 신청인의 개인정보에 대한 불필요한 접근과 오·남용 방지를 위한 관리·감독을 소홀히 하여 보호법 제28조를 위반함,제2조 · 제28조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2083&VA=content,https://datalaw.kr/mediation/#m-2083
42,2025,조정결정사례,동의 없는 개인정보 수집,동의 없는 개인정보 이용 등에 따른 손해배상 등 요구,,기각,"신청인이 카카오톡을 통해 피신청인의 수탁자인 보험설계사 A에게 보험설계 거절 의사를 표시한 것이 개인정보 처리정지의 요구나 동의 철회에 해당한다고 보기 어려우며, 피신청인이 A의 개인정보 처리에 대하여 관리·감독을 미흡하게 하였다고…",제2조 · 제37조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2082&VA=content,https://datalaw.kr/mediation/#m-2082
43,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출 등에 따른 손해배상 등 요구,,"열람 조치, 나머지 기각",주문: 1. 피신청인은 조정성립일로부터 4주 이내에 ‘진료기록 열람 및 사본발급 동의서’와 ‘진료기록 열람 및 사본발급 위임장’의 수임인을 공란으로 서명을 받는 체계를 개선하여야 한다. 2. 신청인의 나머지 신청을 기각한다.,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2081&VA=content,https://datalaw.kr/mediation/#m-2081
44,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보의 목적 외 이용 등에 대한 손해배상 등 요구,5만원,"손해배상 5만원, 나머지 신청 기각","신청인의 제출 자료에 의하면 피신청인이 신청인에게 광고성 메시지를 발송한 사실을 인정할 수 있고, 이는 동의 없이 발신된 것으로 추단됨",제16조 · 제18조 · 제22조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2080&VA=content,https://datalaw.kr/mediation/#m-2080
45,2025,조정결정사례,기타 개인정보 침해,공개된 장소에서 일부 휴대전화번호로 호출한 것에 대한 손해배상 등 요구,,"재발방지 조치, 손해배상 등 기각",공개된 장소에서 개인을 개인정보인 휴대전화번호 4자리로 호출하는 것은 문제가 있으므로…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2079&VA=content,https://datalaw.kr/mediation/#m-2079
46,2025,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 제3자 제공에 대한 손해배상 등 요구,20만원,손해배상(20만원) 및 재발방지 조치,"피신청인이 다른 응모자에게 신청인들의 성명과 휴대전화번호를 제공하였고, 이로 인하여 신청인들이 A씨로부터 야간에 연락을 받게 된 점 등 신청인들이 정신적 고통을 겪었음을 인정할 수 있는바 피신청인은 신청인들에게 손해를 배상할 책임이 있음",제2조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2078&VA=content,https://datalaw.kr/mediation/#m-2078
47,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 따른 손해배상 등 요구,50만원,손해배상금(50만원),"피신청인이 개인정보를 안전하게 관리하지 않고, 정보주체에게 동의받은 개인정보 제3자 제공 범위를 초과하여 신청인의 개인정보가 검색포털에 유출되어 신청인의 의사에 반하여 개인정보자기결정권이 침해함",제3조 · 제18조,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2070&VA=content,https://datalaw.kr/mediation/#m-2070
48,2025,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출에 따른 손해배상 등 요구,15만원,손해배상(15만원),"피신청인이 개인정보의 기술적·관리적 안정성 확보 조치를 소홀히 하여 개인정보가 유출되었고, 2차 피해의 우려가 있는 점 등을 고려할 때, 신청인들이 정신적 고통을 겪었음을 인정할 수 있는 바 피신청인은 신청인들에게 손해를 배상할 책임이 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=2069&VA=content,https://datalaw.kr/mediation/#m-2069
