# 출처: https://datalaw.kr/decisions/ · 기준일 2026-09-14 · 결정문 「이유」 절에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 결정문 원문을 확인하십시오 · 범위: 과징금 부과 사건 155건 중 백분율 문언이 적힌 120건, 행은 조문 단위 · 정정 요청: hyunsub.lee@seumlaw.com
의결일,안건번호,사건번호,피심인,과징금,산정 기준,조문,중대성,세부평가,1차 가중(%),1차 가중 사유,1차 감경(%),1차 감경 사유,2차 가중(%),2차 가중 사유,2차 감경(%),2차 감경 사유,사유 문언 미분류,피심인 주장 검토의견,행 주소,원문 게시물
2026-04-22,제2026-007-052호,"2025조이0019, 0096",듀오정보 주식회사,"11억 9,700만 원",과징금 부과기준(2023년 개정 이후),제24조의2,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 상,50; 50,위반기간 2년 초과,55; 55,이득 없음; 중기업·소기업 해당,,,30; 30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2026-007-052,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0295
2026-04-22,제2026-006-050호,2025조이0057,주식회사 케이에스한국고용정보,"35억 3,700만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 상,50,위반기간 2년 초과,30,이득 없음,,,40,시정 완료; 조사 협력; 그 밖에 줄일 필요,,,https://datalaw.kr/decisions/#mt-2026-006-050,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0294
2026-04-22,제2026-006-050호,2025조이0057,주식회사 케이에스한국고용정보,"35억 3,700만 원",과징금 부과기준(2023년 개정 이후),제24조의2,중대한 위반행위,개인정보 유형 상; 고의·과실 하; 부당성 중; 피해규모 중,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2026-006-050,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0294
2026-04-08,제2026-006-051호,2024조일0071,"Cristie, Manson & Woods, Ltd","2억 8,000만 원",과징금 부과기준(2023년 개정 이후),제24조의2,중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 하,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,일부수용 2회,https://datalaw.kr/decisions/#mt-2026-006-051,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0245
2026-04-08,제2026-006-051호,2024조일0071,"Cristie, Manson & Woods, Ltd","2억 8,000만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 중,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료,,일부수용 2회,https://datalaw.kr/decisions/#mt-2026-006-051,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0245
2026-03-25,제2026-005-025호,"2023조총0042, 2024조총0025",강북구청,"3억 7,800만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2026-005-025,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0204
2026-03-25,제2025-026-305호,"2023조총0042, 2024조총0025",공무원연금공단,"5억 3,200만 원",과징금 부과기준(2023년 개정 이후),제24조제3항,매우 중대한 위반행위,,25,위반기간 1년 초과,30,이득 없음,,,20,시정 완료; 조사 협력; 인증 보유(ISMS-P 등),,,https://datalaw.kr/decisions/#mt-2025-026-305,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0204
2026-03-11,제2026-004-023호,2025조일0053-01,롯데카드 주식회사,"96억 2,000만 원",과징금 부과기준(2023년 개정 이후),제24조의2,매우 중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,20,시정 완료; 조사 협력; 인증 보유(ISMS-P 등),,불수용 3회; 일부수용 2회,https://datalaw.kr/decisions/#mt-2026-004-023,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0175
2026-01-28,제2026-002-004호,2024조삼0008~2024조삼0025,엔에이치엔커머스㈜,870만 원,과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2026-002-004,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0071
2026-01-28,제2026-002-003호,2025조총0045,한국연구재단,7억 300만 원,과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2026-002-003,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2026-0070
2025-12-10,제2025-026-308호,2024조총0009 등 3건,"K Games, Inc","1억 9,451만 9,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2025-026-308,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0907
2025-12-10,제2025-026-307호,2024조총0009 등 3건,(사)부산국제금융진흥원,"9,550만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중; 피해규모 하,50,위반기간 2년 초과,80,이득 없음; 비영리법인·공공,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-026-307,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0907
2025-12-10,제2025-026-306호,2024조총0009 등 3건,국립항공박물관,"9,800만 원",과징금 부과기준(2023년 개정 이후),제24조제3항,중대한 위반행위,,50,위반기간 2년 초과,30; 50,이득 없음,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2025-026-306,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0907
2025-11-26,제2025-024-300호,2024조이0080 등 2건,㈜바텍엠시스,"5,520만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,개인정보 유형 하; 고의·과실 중; 부당성 중; 피해규모 상,50; 30,위반기간 2년 초과,,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-024-300,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0865
2025-11-26,제2025-024-299호,2024조이0080 등 2건,㈜하스,"1억 3,300만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,개인정보 유형 하; 고의·과실 중; 부당성 중; 피해규모 중,50,위반기간 2년 초과,55,이득 없음; 중기업·소기업 해당,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-024-299,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0865
2025-11-20,제2025-023-296호,2024조이0092,법무법인(유)로고스,"5억 2,300만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,고의·과실 중; 부당성 상,50,위반기간 2년 초과,55,이득 없음; 중기업·소기업 해당; 비영리법인·공공,,,10,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-023-296,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0851
2025-11-20,제2025-023-295호,2024조이0109 등 3건,㈜레저플러스,"6,120만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,55,이득 없음; 중기업·소기업 해당,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-023-295,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0850
2025-11-20,제2025-023-293호,2024조이0109 등 3건,㈜이젠,"6,060만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,50,위반기간 2년 초과,55,이득 없음; 중기업·소기업 해당,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-023-293,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0850
2025-10-22,제2025-022-256호,2025조이0034,비공개,"4억 6,300만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,65,위반기간 2년 초과,55,이득 없음; 중기업·소기업 해당,,,20,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-022-256,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0786
2025-07-23,제2025-016-236호,"2024조일0043, 2023조총0051",(재)전남테크노파크,"9,800만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30; 50,이득 없음,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2025-016-236,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0614
2025-07-23,제2025-016-235호,"2024조일0043, 2023조총0051",㈜해성디에스,"3억 4,300만 원",과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,,,30,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-016-235,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0614
2025-07-23,제2025-016-233호,"2025조일0005, 0027",Qookka Entertainment Limited,"9,370만 원",과징금 부과기준(2023년 개정 이후),제24조의2,보통 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 하,,,30,이득 없음,,,,,,,https://datalaw.kr/decisions/#mt-2025-016-233,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0615
2025-06-25,제2025-014-047호,"2023조일0021, 2024조일0027","TELUS International AI, Ltd","8,200만 원",과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,개인정보 유형 하; 고의·과실 중; 부당성 중,,,30,이득 없음,,,30,시정 완료,,,https://datalaw.kr/decisions/#mt-2025-014-047,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0542
2025-05-14,제2025-011-035호,"2024조일0013, 2025조일0025",Elementary Innovation Pte. Ltd,"4억 9,000만 원",과징금 부과기준(2023년 개정 이후),제24조의2,매우 중대한 위반행위,,,,,,,,30,시정 완료,,,https://datalaw.kr/decisions/#mt-2025-011-035,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0426
2025-05-14,제2024-013-193호,"2024조일0013, 2025조일0025",Whaleco Technology Limited,"8억 7,900만 원",과징금 부과기준(2023년 개정 이후),제28조의8,중대한 위반행위,,25,위반기간 1년 초과,,,30,조사 방해,,,,,https://datalaw.kr/decisions/#mt-2024-013-193,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0426
2025-04-09,제2025-008-025호,"2024조이0081, 2023조이0014",㈜케이티알파,"491만 5,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,25,위반기간 1년 초과,50,최근 3년 처분 없음,,,30,조사 협력; 인증 보유(ISMS-P 등); 자진 신고,,,https://datalaw.kr/decisions/#mt-2025-008-025,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0272
2025-04-09,제2025-008-024호,"2024조이0081, 2023조이0014",㈜클래스유,"5,360만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,고의·과실 중,50,위반기간 2년 초과,45,이득 없음; 중기업·소기업 해당,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2025-008-024,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0272
2025-01-22,제2025-002-005호,2023조이0130 등 2건,㈜동행복권,5억 300만 원,과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30; 50,조사 협력; 인증 보유(ISMS-P 등),,,https://datalaw.kr/decisions/#mt-2025-002-005,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0074
2025-01-22,제2024-011-187호,2023조이0130 등 2건,에스케이스토아㈜,"14억 3,200만 원",과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,50,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2024-011-187,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0074
2025-01-08,제2025-001-001호,2023조총0053,법원행정처,2억 700만 원,舊 주민등록번호 유출 과징금 기준,제24조제3항,,,20,세부평가 점수,,세부평가 점수,,,25,인증 보유(ISMS-P 등); 세부평가 점수,,,https://datalaw.kr/decisions/#mt-2025-001-001,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2025-0040
2024-11-13,제2024-019-245호,2024조총0010 등 2건,비공개,"4,280만 원",과징금 부과기준(2023년 개정 이후),제29조,보통 위반행위,,50,위반기간 2년 초과,80,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2024-019-245,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1123
2024-11-13,제2024-019-244호,2024조총0010 등 2건,비공개,"1억 9,300만 원",과징금 부과기준(2023년 개정 이후),제24조제3항,중대한 위반행위,,50,위반기간 2년 초과,80,이득 없음,,,15,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-019-244,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1123
2024-11-04,제2024-018-242호,"2023조이0115, 2023조이0035",비공개,"959만 1,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-018-242,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1089
2024-11-04,제2024-018-241호,"2023조이0115, 2023조이0035",비공개,"5,110만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,,,30; 15,이득 없음; 중기업·소기업 해당,,,40,시정 완료; 조사 협력; 그 밖에 줄일 필요,,,https://datalaw.kr/decisions/#mt-2024-018-241,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1089
2024-10-23,제2024-017-240호,"2024조이0011, 2024조이0008",㈜일학,"1,800만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,개인정보 유형 중; 고의·과실 중; 부당성 중; 피해규모 중,50,위반기간 2년 초과,80,이득 없음; 중기업·소기업 해당; 비영리법인·공공,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2024-017-240,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1034
2024-10-23,제2024-017-239호,"2024조이0011, 2024조이0008",㈜네오팜,"1억 517만 3,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-017-239,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-1034
2024-09-25,제2024-016-235호,2024조일0012,비공개,"3억 7,900만 원",과징금 부과기준(2023년 개정 이후),제28조의8,보통 위반행위,개인정보 유형 하; 고의·과실 중; 부당성 중,50,위반기간 2년 초과,,,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-016-235,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0950
2024-09-25,제2024-016-234호,2024조일0012,비공개,"7억 2,500만 원",과징금 부과기준(2023년 개정 이후),제23조,매우 중대한 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 중,25,위반기간 1년 초과,,,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-016-234,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0950
2024-09-25,제2024-016-234호,2024조일0012,비공개,"7억 2,500만 원",과징금 부과기준(2023년 개정 이후),제28조의8,보통 위반행위,개인정보 유형 상; 고의·과실 중; 부당성 하,,,,,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-016-234,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0950
2024-09-25,제2024-016-233호,"2024조총0003, 2023조이0078",비공개,"2억 2,400만 원",과징금 부과기준(2023년 개정 이후),제18조,매우 중대한 위반행위,개인정보 유형 하; 고의·과실 상; 부당성 상; 피해규모 중,50,위반기간 2년 초과,15,,,,,,,,https://datalaw.kr/decisions/#mt-2024-016-233,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0949
2024-09-25,제2024-016-232호,"2024조총0003, 2023조이0078",한국사회복지협의회,"4억 8,300만 원",과징금 부과기준(2023년 개정 이후),제29조,중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,시정 완료; 조사 협력,,,https://datalaw.kr/decisions/#mt-2024-016-232,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0949
2024-08-28,제2024-014-198호,2023조이0124 등 4건,비공개,"329만 8,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-014-198,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0847
2024-08-28,제2024-014-195호,2023조이0124 등 4건,비공개,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,,,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-014-195,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0847
2024-07-24,제2024-013-192호,2024조일0013,비공개,"19억 7,800만 원",과징금 부과기준(2023년 개정 이후),제28조의8,중대한 위반행위,,50,위반기간 2년 초과,,,20,조사 방해,30,시정 완료,,,https://datalaw.kr/decisions/#mt-2024-013-192,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0761
2024-06-26,제2024-011-188호,2023조이0053,비공개,"6,778만 8,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-011-188,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0621
2024-05-22,제2024-009-183호,2023조이0023,비공개,"151억 4,196만 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,40,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-009-183,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0462
2024-05-08,제2024-008-182호,2023조일0116,(주)골프존,75억 400만 원,과징금 부과기준(2023년 개정 이후),제29조,매우 중대한 위반행위,,50,위반기간 2년 초과,30,이득 없음,,,30,조사 협력,,불수용 2회; 일부수용 1회; 수용 1회,https://datalaw.kr/decisions/#mt-2024-008-182,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0350
2024-03-27,제2024-006-163호,2024조이0016 등 2건,비공개,"6억 1,300만 원",과징금 부과기준(2023년 개정 이후),제29조,,개인정보 유형 하; 고의·과실 중; 부당성 하; 피해규모 하,50,위반기간 2년 초과,30,이득 없음,,,30,조사 협력,,,https://datalaw.kr/decisions/#mt-2024-006-163,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0234
2024-03-13,제2024-005-162호,,비공개,"1,250만 9,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-005-162,
2024-03-13,제2024-005-161호,,비공개,"1억 5,219만 7,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-005-161,
2024-03-13,제2024-005-160호,,비공개,"1억 7,438만 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2024-005-160,
2024-02-14,제2024-003-030호,2023조일0051,TAG HEUER branch of LVMH Swiss Manufactures SA,"1억 2,600만 원",舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,,,50,최근 3년 처분 없음,,,10,조사 협력,,불수용 2회; 일부수용 1회,https://datalaw.kr/decisions/#mt-2024-003-030,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2024-0116
2023-12-13,제2023-020-244호,2023조이0057 등 2건,㈜스피드옥션,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-020-244,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0595
2023-12-13,제2023-020-243호,2023조이0057 등 2건,㈜코다스디자인,액수 비공개,舊 정보통신서비스 특례 과징금 기준,제29조,중대한 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-020-243,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0595
2023-11-22,제2023-019-237호,,비공개,"2억 2,789만 8,000 원",舊 정보통신서비스 특례 과징금 기준,제29조,보통 위반행위,,50,위반기간 2년 초과,50,최근 3년 처분 없음,,,20,조사 협력; 자진 신고,,,https://datalaw.kr/decisions/#mt-2023-019-237,
2023-11-08,제2023-018-235호,2023조총0017 등 3건,비공개,"1,250만 원",舊 주민등록번호 유출 과징금 기준,제24조제3항,,,,,50,세부평가 점수,,,50,세부평가 점수,,,https://datalaw.kr/decisions/#mt-2023-018-235,https://www.pipc.go.kr/np/default/agenda.do?op=view&mCode=E030010000&idxId=2023-0529
