# 출처: https://datalaw.kr/damages/ · 작성 기준일 2026-09-12 · 공개 판례 원문에서 사람이 정리한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 판결문 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
사고,사고 유형,피고,피고 표기 근거,침해내용,결과,확정 상태,1인당 인정액,인정액 경위,심급 경과,판단을 가른 것,행 주소
통신사 홈페이지 해킹 — 요금명세서 조회 방식 (2013~2014),대량 유출,케이티,,"해커가 파로스 프로그램으로 홈페이지 요금명세서 조회를 위조해 이용자 9,818,074명의 개인정보 11,708,875건 유출",기각,항소심 확정 (상고 소취하),—,,"[1심] 2017 부산지방법원 2014가합7639 (2017-02-16)·2014가합11287 (기각) → [1심] 2017-04-06 수원지방법원 성남지원 2014가합206705·202611 (기각) → [항소심] 2018-11-01 서울고등법원 2017나2005158 (항소 기각 (원심 서울중앙 2014가합566079) — 상고 2018다288860 소취하) → [항소심] 2019-01-17 서울중앙지방법원 2017나19530 (소액 1심(2014가소413127, 2017-02-17) 인용 취소, 청구 기각) → [항소심] 2019-11-15 서울중앙지방법원 2017나19578 (소액 1심(2015가소6327542, 2017-02-17) 인용 취소, 청구 기각)",천만 명 규모 유출인데도 확인된 소송이 종국적으로는 전부 청구 기각(1심에서 1인당 10만 원을 인정한 갈래도 항소심에서 취소) — 해커의 이례적 공격 방식과 사업자의 보호조치 이행이 과실 부정의 근거. 유출 규모가 아니라 의무 위반 여부가 결과를 가른다는 것을 보여준 사건,https://datalaw.kr/damages/#dm-10
카드사 고객정보 유출 — 롯데카드 (2010·2013),대량 유출,롯데카드·코리아크레딧뷰로(KCB),,"FDS 개발용역 과정에서 외주 개발인력이 카드 고객정보를 USB로 반출. 2010년 4월 유출분 중 255만 명분이 제3자에게 전달, 2013년 12월 유출분은 체포·압수로 미유통",인용,대법원 확정,1인당 7만 원 확정,"1심은 10만 원, 항소심에서 감액. 2013년 12월 유출분 청구는 기각","[1심] 2016-10-13 서울중앙지방법원 2014가합511956 등 (2010년분 각 10만 원, 2013년분 기각) → [항소심] 2018-02-02 서울고등법원 2016나2090012 등 (각 7만 원으로 변경) → [상고심] 2019-09-26 대법원 2018다222303, 222310, 222327 (상고 기각 — 7만 원 확정) → [1심] 2022-03-02 서울중앙지방법원 2020가단5241331 (뒤늦게 낸 병렬 1심 — 2010년 유출분 원고들 각 7만 원, 나머지 원고 기각) → [항소심] 2022-12-22 서울중앙지방법원 2022나18456 (항소 기각 (판결문 열람 DB 확정 기록)) → [상고심] 2019-10-18 대법원 2018다207953 (카드사 3곳·KCB를 함께 상대한 병합 사건(원심 서울고법 2016나2022484 등, 2017-11-30) — 피고 상고 기각)","같은 사고 안에서도 제3자에게 유통된 유출분만 인용되고, 유통 전 압수된 유출분은 정신적 손해 불인정 — 「유통 여부」가 인용·기각을 가른 사건",https://datalaw.kr/damages/#dm-11
카드사 고객정보 유출 — KB국민카드 (2013),대량 유출,케이비국민카드·코리아크레딧뷰로(KCB),,FDS 개발용역 과정의 고객정보 유출 (위 롯데카드와 같은 구조의 사고),인용,대법원 확정 (병렬 소송 여러 건),1인당 10만 원 확정,"원심 3건 모두 각 10만 원 (수원지법 2016나55780·서울고법 2016나2049021은 항소기각, 서울중앙지법 2016나15432는 항소심에서 10만 원으로 감액. 원심 전문은 공개 판례 DB에 없어 판결문 열람 DB에서 확인, 2026-08-24)","[상고심] 2018-10-25 대법원 2018다219352 (원심 수원지법 2016나55780 (2018-01-11, 각 10만 원 유지)) → [상고심] 2018-10-25 대법원 2018다219406 (원심 서울중앙지법 2016나15432 (2018-01-17, 각 10만 원으로 감액)) → [상고심] 2018-12-28 대법원 2018다214142 (원심 서울고법 2016나2049021 (2018-01-12, 각 10만 원 유지)) → [상고심] 2019-07-24 대법원 2018다238278 (병렬 상고심 (원심 서울고법 2016나2029539, 2018-04-20 피고 항소 기각) — 상고 기각) → [상고심] 2019-10-18 대법원 2018다235187 (KB국민카드·농협·KCB 공동 피고 병렬 상고심 (원심 서울중앙 2017나17244, 2018-04-17 피고 항소 기각) — 상고 기각) → [상고심] 2019-10-18 대법원 2018다207953 (카드사 3곳·KCB를 함께 상대한 병합 사건(원심 서울고법 2016나2022484 등, 2017-11-30) — 피고 상고 기각) → [1심] 2022-01-27 서울중앙지방법원 2020가단5259622 (사고 7년 뒤 낸 병렬 1심 — 소멸시효 완성으로 청구 기각) → [항소심] 2023-05-31 서울중앙지방법원 2022나9902 (항소 기각 (판결문 검색 서비스 확정 기록))",유출 정보가 사생활·신용과 밀접하고 2차 범죄 악용 가능성이 있으며 전파·확산 과정에서 열람됐거나 열람될 가능성이 크다고 봄. 위자료 액수 산정은 사실심 재량임을 확인. 병렬 소송 3건의 인정액이 전부 1인당 10만 원으로 수렴 — 같은 사고로 7년 뒤 낸 소송은 소멸시효 완성으로 기각됐다(2020가단5259622),https://datalaw.kr/damages/#dm-12
카드사 고객정보 유출 — 농협 (2013),대량 유출,농협은행·코리아크레딧뷰로(KCB),,FDS 개발용역 과정의 카드 고객정보 유출 (같은 구조),인용,대법원 확정,1인당 10만 원 확정,"원심에서 농협은행과 공동하여 각 10만 원 (원심 전문은 공개 판례 DB에 없어 판결문 열람 DB에서 확인, 2026-08-24)","[상고심] 2018-10-25 대법원 2018다223214 (원심 서울중앙지법 2016나62667 (2018-02-08, 항소기각 — 각 10만 원 유지)) → [상고심] 2019-10-18 대법원 2018다225197 (병렬 상고심 (원심 서울중앙 2017나13648, 2018-02-21 피고 항소 기각 — 선정자 각 10만 원 청구) — 상고 기각) → [상고심] 2019-10-18 대법원 2018다235187 (KB국민카드·농협·KCB 공동 피고 병렬 상고심 (원심 서울중앙 2017나17244) — 상고 기각) → [상고심] 2019-10-18 대법원 2018다207953 (카드사 3곳·KCB를 함께 상대한 병합 사건(원심 서울고법 2016나2022484 등, 2017-11-30) — 피고 상고 기각)",위 KB국민카드 사건과 같은 판단 기준. 카드3사 유출 병렬 소송의 인정액이 롯데카드(7만 원 확정)를 제외하면 전부 1인당 10만 원,https://datalaw.kr/damages/#dm-13
네이트·싸이월드 해킹 (2011),대량 유출,에스케이커뮤니케이션즈,,해킹으로 회원 개인정보 대량 유출,기각,대법원 확정,—,,"[항소심] 2015-03-20 서울고등법원 2013나20047 등 (원심) → [상고심] 2018-01-25 대법원 2015다24904, 24911, 24928, 24935 (상고 기각 — 원고 패소 확정)",사업자의 기술적·관리적 보호조치 의무 위반이 부정됨 — 해킹 사고에서 사업자의 과실 인정이 얼마나 어려운지를 보여준 대표 사건,https://datalaw.kr/damages/#dm-14
대형마트 경품행사 개인정보 보험사 제공 (2011~2014),대량 유출,대형마트 운영사,판결문 비실명,"경품행사로 수집한 개인정보를 보험회사에 판매하고, 회원 정보를 동의 없이 보험사 사전필터링에 제공",인용,대법원 확정,경품행사 응모 원고 1인당 20만 원·사전필터링 제공 원고 1인당 10만 원 확정,1심은 유형별 5만~12만 원,"[1심] 2017-08-31 수원지방법원 안산지원 2015가합1847 (유형별 5만~12만 원) → [항소심] 2018-07-11 서울고등법원 2017나2055054 (유형별 10만~20만 원으로 증액) → [상고심] 2024-05-17 대법원 2018다262103 (상고 모두 기각 — 확정 (개인정보 보호법 제39조 관련 법리·증명방해 판시)) → [상고심] 2024-05-17 대법원 2018다279446 (병렬 상고심 (원심 서울고법 2018나2014586) — 경품 응모·사전필터링 대상이 아닌 원고들의 유출 통지·열람 의무 위반 청구 기각, 피고 상고 기각)",유출이 아니라 「동의 없는 제3자 제공」 유형 — 제공 유형(경품 응모 vs 사전필터링)별로 액수를 달리 산정,https://datalaw.kr/damages/#dm-15
온라인 서비스 해킹 — 이메일·암호화된 비밀번호 유출 (2021),대량 유출,온라인 서비스 운영사,판결문 비실명,웹방화벽 비활성화 상태에서 해킹 공격으로 이메일 주소와 암호화된 비밀번호 유출. 개인정보보호위원회가 2022-09-14 과징금·과태료 처분(안전조치의무 위반)을 별도로 부과한 사고,기각,대법원 확정,—,법정손해배상 30만 원 청구 기각,[1심] 2023-03-03 서울남부지방법원 2021가소568939 (기각) → [항소심] 2023-12-07 서울남부지방법원 2023나55205 (항소 기각) → [상고심] 2025-12-04 대법원 2023다311184 (상고 기각 — 법정손해배상 법리 판시),제39조의2 법정손해배상 청구에서도 개인정보처리자가 「위자료로 배상할 만한 정신적 손해가 발생하지 않았음」을 증명하면 면책된다고 최초로 정리 — 행정 제재(과징금)와 민사 배상이 따로 간다는 것을 보여준 사건,https://datalaw.kr/damages/#dm-16
경찰 소송수행자가 보관한 징계·소송 기록을 민사소송에 제출 (2019),내부자 누설,경찰관(소송수행자)·지방경찰청장,판결문 비실명,"징계처분 취소소송의 경찰청 측 소송수행자가 업무상 취득한 원고의 징계기록·소청심사 기록·행정소송 기록을 사본으로 보관하다가, 원고가 자신을 상대로 낸 민사소송에서 소송대리인을 통해 서증으로 제출",기각,항소심 확정,—,,[1심] 2023-05-17 대구지방법원 경산시법원 2022가소38506 (기각) → [항소심] 2024-02-28 대구지방법원 2023나310158 (항소 기각),"사본 보관은 제3자가 알 수 있는 상태가 아니어서 「유출」(제59조 제3호)이 아니고, 법원 제출은 「누설」(제59조 제2호)로 보기 어려우며 누설이라 해도 소송수행 업무의 정당성을 증명하기 위한 정당행위로 위법성 조각 — 개인정보처리자(경찰청장)의 유출 통지의무 위반 주장도 유출 부존재를 이유로 배척. 「유출」·「누설」의 외연을 가른 사건",https://datalaw.kr/damages/#dm-17
숙박예약 앱 해킹 — 예약정보 유출·협박 문자 (2017),대량 유출,숙박예약 앱 운영사,판결문 비실명,"외부인이 마케팅센터 웹페이지에 SQL 인젝션 공격을 해 회원정보·숙박예약정보를 빼내고, 일부 이용자에게 예약 사실을 거론한 문자메시지를 보냄",인용,"1심 (상소 기록 없음, 2026-09-12 확인)",1인당 10만~40만 원,"예약정보 유출에 협박 문자까지 받은 원고 40만 원, 예약정보만 유출 20만 원, 일부만 본인 정보인 원고 10만 원","[1심] 2022-09-29 서울중앙지방법원 2017가합538143 (선정당사자 소송, 유형별 10만~40만 원)","보호조치 위반의 정도가 중대하다고 보고, 유출된 정보가 숙박예약 내역이라는 성격과 협박 문자라는 2차 피해 여부로 액수를 세 단계로 갈랐다 — 같은 사고 안에서 피해 정도별로 위자료를 달리 정한 사례",https://datalaw.kr/damages/#dm-18
가상화폐 거래소 회원정보 유출 (2017),대량 유출,가상화폐 거래소 운영사,판결문 비실명,해커가 운영자 개인 컴퓨터에 악성코드를 심거나 사전대입 공격으로 회원 개인정보를 빼냄. 원고들은 뒤이은 계정 해킹으로 가상화폐를 탈취당했다고 주장,인용 (일부),"1심 (상소 기록 없음, 2026-09-12 확인)",1인당 10만 원,성명·생년월일·전화번호 유출이 확인된 원고 1명만 인용,"[1심] 2022-10-13 서울중앙지방법원 2017가합571614 (원고 1명 10만 원, 나머지 원고 기각)","암호화 등 보호조치 위반과 유출이 확인된 원고에게만 위자료를 인정하고, 가상화폐 탈취 손해는 유출과의 인과관계를 증명하지 못해 배척 — 유출 사실이 원고별로 증명돼야 한다는 점을 보여 준다",https://datalaw.kr/damages/#dm-19
데이팅 앱 서버 해킹·협박 — 가입 증빙서류 유출 (2021),대량 유출,데이팅 앱 운영사,판결문 비실명,회원이던 해커가 서버를 해킹해 회원(약 14만 3천 명) 개인정보를 빼낸 뒤 운영사를 협박. 운영사는 가입 검증용으로 받은 주민등록번호·재직증명서·부동산계약서·사진을 검증 뒤에도 파기하지 않고 보관,인용,항소심 확정 (판결문 열람 DB 확정 기록),운영사 1인당 100만 원 확정,"해커 1,000만 원 중 100만 원을 운영사가 공동 부담 — 1심은 해커와 공동 500만 원","[1심] 2023-06-12 서울중앙지방법원 2022가단5193306 (해커·운영사 공동 500만 원) → [항소심] 2024-03-19 서울중앙지방법원 2023나37942 (해커 1,000만 원으로 증액, 운영사 부담은 그중 100만 원으로 변경)","목적을 다한 민감 서류를 파기하지 않은 운영사의 책임을 인정하되, 경찰 신고·협박 대응 등 사후 조치를 참작해 해커(1,000만 원)와 운영사(100만 원)의 위자료를 달리 정했다 — 보관 자체가 배상 사유가 된 사례",https://datalaw.kr/damages/#dm-20
여행사 웹사이트 해킹 (2024),대량 유출,여행사,판결문 비실명,"해커가 문의게시판에 웹셸을 올려 DB 서버의 회원·비회원 정보(한글·영문 이름, 생년월일, 성별, 휴대전화번호)를 빼냄. 운영사는 유출을 안 뒤 2개월이 지나서야 통지",인용,항소심 확정 (판결문 열람 DB 확정 기록),1인당 10만 원 확정,청구 220만 원 — 원고 항소 기각,[1심] 2025-08-12 서울중앙지방법원 2024가소1919870 (10만 원 일부 인용) → [항소심] 2026-05-15 서울중앙지방법원 2025나9594 (원고 항소 기각),"안전조치(제29조)·파기(제21조)·72시간 내 통지(제34조) 위반을 인정하고 개인정보 보호법 제39조 제1항의 증명책임 전환을 적용했지만, 유출 항목이 연락처 수준이라 위자료는 10만 원 — 통지 지연도 액수를 크게 올리지 않았다",https://datalaw.kr/damages/#dm-21
직원 명함으로 수집한 연락처의 수탁업체 해킹 유출,대량 유출,기업,판결문 비실명·업종 미기재,"직원이 입사 전 다른 직장에서 명함을 교환하며 얻은 연락처(성명·휴대전화번호·직장명·이메일)를 회사가 동의 없이 보유하다가, 전산설비 수탁업체 서버 해킹으로 다수의 정보와 함께 유출",인용,"1심 (상소 기록 없음, 2026-09-12 확인)",1인당 30만 원,청구 120만 원,[1심] 2026-06-19 서울중앙지방법원 2025가소357325 (30만 원 일부 인용),"신용정보법상 신용정보라는 청구는 배척하고, 동의 없는 수집과 안전조치 소홀로 인한 유출을 개인정보 보호법 위반 불법행위로 선해해 인정 — 명함 정보도 회사가 보유하면 개인정보이고 수탁자 서버 사고도 위탁자 책임이 된다",https://datalaw.kr/damages/#dm-22
약국 청구 프로그램으로 처방정보 수집·외국계 조사회사 제공 (2011~2013),대량 유출,약사 단체·의약품정보 재단법인·외국계 의료정보 조사회사 한국법인,판결문 비실명,약국 요양급여 청구 소프트웨어로 전국 약국의 환자 처방전 정보를 모아 암호화한 뒤 외국계 조사회사에 제공 — 관련자는 형사 기소,기각,대법원 확정,—,청구 1인당 100만 원,"[1심] 2017-09-11 서울중앙지방법원 2014가합508066, 2014가합538302(병합) (기각) → [항소심] 2019-05-03 서울고등법원 2017나2074963, 2017나2074970(병합) (항소 기각) → [상고심] 2024-07-11 대법원 2019다242045 (상고 기각 — 기각 확정)",정보가 암호화돼 통계 분석에만 쓰였고 제3자 열람 가능성·2차 피해가 없으며 해외 서버 정보도 삭제됐다는 이유로 정신적 손해 발생을 부정. 법정손해배상(제39조의2)은 2015-07-24 이후 유출분부터라 소급 적용 불가 — 위법한 수집·제공이 형사 기소됐어도 민사 위자료는 별개라는 사례,https://datalaw.kr/damages/#dm-23
해외 소셜미디어 제3자 앱 정보 제공·운영 법인 변경 미고지 (2018),대량 유출,해외 소셜미디어 운영사 2곳,판결문 비실명,"이용자 친구의 개인정보를 제3자 앱에 제공했다는 주장, 한국 이용자 서비스 제공 법인을 해외 법인 사이에서 바꾸면서 이전 사실을 알리지 않은 행위",기각,"1심 (상소 기록 없음, 2026-09-12 확인)",—,청구 1인당 50만 원,[1심] 2025-02-13 서울중앙지방법원 2022가단5024943 (기각),"원고별로 제3자 앱에 정보가 제공된 사실을 증명하지 못했고, 운영 법인 변경 시 이전 고지의무(구 정보통신망법 제26조) 위반은 인정되나 이전 전후 관리 방식이 같아 손해가 없다고 봄 — 고지의무 위반이 인정돼도 원고별 손해 증명은 따로 필요하다",https://datalaw.kr/damages/#dm-24
역 직원의 내부망 주소지 조회 뒤 살인 — 신당역 사건 (2021~2022),내부자 누설,서울교통공사,,직위해제된 직원이 내부 통합정보시스템에서 피해자의 주소지 등 개인정보를 조회해 찾아간 뒤 살해. 유족이 공사를 상대로 사용자책임과 개인정보 보호의무 위반을 청구,인용 (일부),"대법원 계속 중 (2025다215622, 2026-09-12 확인)","망인 위자료 1,000만 원",상속인 부모에게 각 500만 원 (범행 자체에 대한 사용자책임은 부정),"[1심] 2024-08-30 서울중앙지방법원 2023가합89239 (청구 기각) → [항소심] 2025-07-16 서울고등법원 2024나2044748 (부모 각 500만 원 인용, 형제 원고 항소 기각) → [상고심]  대법원 2025다215622 (상고심 계속 (판결문 열람 DB 기준))","범행이 공사의 사무집행과 관련된다고 보기 어려워 사용자책임은 부정했지만, 직위해제된 직원의 내부망 접근·조회를 막지 않은 접근통제(제29조) 위반으로 개인정보가 탐지된 것 자체의 정신적 손해를 인정 — 사후에 주소지 조회 차단 조치를 한 사정도 참작",https://datalaw.kr/damages/#dm-25
구청 공무원의 차적정보 조회·흥신소 유출 (2020),내부자 누설,수원시,,소속 공무원이 돈을 받고 원고의 인적사항·주소지 등 차적정보를 조회해 텔레그램으로 흥신소 업자에게 넘김,인용,"1심 (상소 기록 없음, 2026-09-12 확인)",200만 원,"청구 1,000만 원",[1심] 2024-09-03 수원지방법원 2023가단512709 (200만 원 일부 인용),공무원이 직무를 집행하면서 고의로 개인정보를 영리 목적으로 제공(제70조 제2호)했으므로 지방자치단체가 국가배상법 제2조에 따라 배상 — 내부자의 범죄도 기관의 배상 책임이 된다,https://datalaw.kr/damages/#dm-26
항공 종사자 행정처분 알림에 개인정보를 적어 타사에 발송 (2019),내부자 누설,대한민국 (국토교통부),,항공 종사자 자격 행정처분을 알리면서 이름·생년월일·자격증명 번호·처분 기간을 적은 공문을 원고가 소속되지 않은 항공사 대표 등에게도 발송,인용 (일부),"항소심 (상고 기록 없음, 2026-09-12 확인)",70만 원,1심 기각 → 항소심 인용,[1심] 2021-09-14 인천지방법원 2021가단217737 (기각) → [항소심] 2023-01-17 인천지방법원 2021나74344 (개인정보 보호법 위반 부분 70만 원 인용 (위법 처분 자체의 위자료 청구는 기각)),"목적 외 제3자 제공(제17조 제1항)을 인정했지만, 수신 회사가 내부에 더 퍼뜨렸다는 증거가 없고 그 확산은 수신사의 책임이라는 점을 들어 70만 원으로 제한",https://datalaw.kr/damages/#dm-27
