# 출처: https://datalaw.kr/timeline/ · 수집일 2026-09-11 · 국가법령정보센터 시행예정법령에서 기계 추출한 목록으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 법령 원문과 부칙을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
시행일,법령명,구분,제개정,공포번호,공포일,같은 개정의 다른 시행일,비고 요지,비고,해설,행 주소
2027-01-01,저작권법,법률,일부개정,제21595호,2026-04-28,2026-10-29,,,,https://datalaw.kr/timeline/#t-285693-20270101
2027-01-21,전자상거래 등에서의 소비자보호에 관한 법률,법률,일부개정,제21312호,2026-01-20,,,,,https://datalaw.kr/timeline/#t-282793-20270121
2027-01-21,전자상거래 등에서의 소비자보호에 관한 법률 시행령,대통령령,일부개정,제36507호,2026-07-20,,,,,https://datalaw.kr/timeline/#t-288143-20270121
2027-02-12,소프트웨어 진흥법,법률,일부개정,제21865호,2026-08-11,,,,,https://datalaw.kr/timeline/#t-288697-20270212
2027-02-28,인공지능 및 데이터 기반 행정 활성화에 관한 법률,법률,일부개정,제21392호,2026-02-27,,제명이 「인공지능 및 데이터 기반 행정 활성화에 관한 법률」로 변경,공공기관 AI 의사결정의 최종 권한·책임 명확화(제3조 제5항)와 편향성·투명성 고려(제7항); 2027-02-28 시행분은 제32조 영향평가 단계,https://datalaw.kr/posts/public-ai-act-vendor-contracts/,https://datalaw.kr/timeline/#t-283735-20270228
2027-02-28,인공지능 및 데이터 기반 행정 활성화에 관한 법률 시행령,대통령령,일부개정,제36604호,2026-08-25,,,"2026-08-25 공포된 시행령; 본칙은 법과 같은 2026-08-28 시행이고, 영향평가 관련 제26조부터 제29조까지만 2027-02-28 시행이다(부칙 제36604호) — 영향평가 기준 4호와 고시 위임(제26조), 제외대상 3유형과 그 해당 여부에 대한 행정안전부장관 확인(제27조 제1항·제2항), 실시기관(제28조), 위험관리방안 6항목과 세부 기준 고시 위임(제29조); 법 제29조·제30조·제31조의 하위규범은 이 시행령에 없다",https://datalaw.kr/posts/public-ai-act-vendor-contracts/,https://datalaw.kr/timeline/#t-288963-20270228
2027-03-09,개인정보 보호법,법률,일부개정,제21910호,2026-09-08,,AI 학습 특례,"제3장 제5절을 신설해 인공지능기술 개발을 위한 개인정보의 목적 외 이용(제28조의12), 관리·감독(제28조의13), 처리 제한(제28조의14), 적용의 일부 제외(제28조의15)를 넣었다; 요건 3개를 모두 갖추고 보호위원회 심의·의결을 거쳐야 하고, 위원회는 조건을 붙일 수 있다; 적용 제외 목록의 제28조의8은 「국외로 처리위탁하는 경우에 한정」된다; 「인공지능기술」 정의는 제2조 제9호 신설; 요건·절차 상당수가 대통령령 위임이고 하위법령은 미제정",https://datalaw.kr/posts/ai-development-exception-waived-provisions/; https://datalaw.kr/posts/scraped-data-asset-due-diligence/,https://datalaw.kr/timeline/#t-289415-20270309
2027-03-10,인공지능 데이터센터 산업 진흥에 관한 특별법,법률,제정,제21759호,2026-06-09,,,,,https://datalaw.kr/timeline/#t-286707-20270310
2027-04-01,디지털포용법,법률,일부개정,제21496호,2026-03-31,,,,,https://datalaw.kr/timeline/#t-285197-20270401
2027-04-01,정보통신망 이용촉진 및 정보보호 등에 관한 법률,법률,일부개정,제21500호,2026-03-31,2026-10-01,2026-03-31 공포 개정분,"침해사고 대응·정보보호 체계 강화 계열, 하위법령 입법예고(과기정통부 공고 제2026-754호)가 있었다; 2027-04-01 시행분은 별도 단계",,https://datalaw.kr/timeline/#t-285199-20270401
2027-06-10,국가연구데이터 관리 및 활용 촉진에 관한 법률,법률,제정,제21756호,2026-06-09,,,,,https://datalaw.kr/timeline/#t-286701-20270610
2027-07-01,개인정보 보호법,법률,일부개정,제21445호,2026-03-10,,2단계 시행분,제32조의2 제1항 단서(대통령령으로 정하는 개인정보처리자의 보호 인증 의무화)와 제75조 제2항 제15호 과태료만 이날 시행; 본체(유출등 정의 확장·가능성 통지·과징금 상한 10%·CPO 이사회 의결)는 2026-09-11 시행,https://datalaw.kr/guides/pipa-2026-amendment/,https://datalaw.kr/timeline/#t-283839-20270701
